name,country,city,continent,language,political_stance,economic_stance,latitude,longitude,flag_emoji,background,website_url,id,created_date,updated_date,created_by_id,created_by,is_sample
"Folha de S.Paulo","ブラジル","サンパウロ","南アメリカ","ポルトガル語","中道左派","混合経済","-23.5505","-46.6333","🇧🇷","ブラジル最大の日刊紙","https://www.folha.uol.com.br","69080efea1801249bbe1e8db","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"El País","スペイン","マドリード","ヨーロッパ","スペイン語","中道左派","混合経済","40.4168","-3.7038","🇪🇸","スペイン最大の日刊紙","https://elpais.com","69080efea1801249bbe1e8dc","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Al Jazeera","カタール","ドーハ","中東","アラビア語","独立系","混合経済","25.2854","51.531","🇶🇦","中東を代表する国際メディア","https://www.aljazeera.com","69080efea1801249bbe1e8dd","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Guardian","イギリス","ロンドン","ヨーロッパ","英語","中道左派","混合経済","51.5074","-0.1278","🇬🇧","英国の進歩的な日刊紙","https://www.theguardian.com","69080efea1801249bbe1e8de","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Le Monde","フランス","パリ","ヨーロッパ","フランス語","中道","混合経済","48.8566","2.3522","🇫🇷","フランスの高級日刊紙","https://www.lemonde.fr","69080efea1801249bbe1e8df","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"South China Morning Post","香港","香港","アジア","英語","中道","自由市場","22.3193","114.1694","🇭🇰","香港最大の英字新聞","https://www.scmp.com","69080efea1801249bbe1e8e0","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The New York Times","アメリカ","ニューヨーク","北アメリカ","英語","中道左派","混合経済","40.7128","-74.006","🇺🇸","アメリカの権威ある日刊紙","https://www.nytimes.com","69080efea1801249bbe1e8e1","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Sydney Morning Herald","オーストラリア","シドニー","オセアニア","英語","中道","自由市場","-33.8688","151.2093","🇦🇺","オーストラリア最古の日刊紙","https://www.smh.com.au","69080efea1801249bbe1e8e2","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Mail & Guardian","南アフリカ","ヨハネスブルグ","アフリカ","英語","中道左派","混合経済","-26.2041","28.0473","🇿🇦","南アフリカの調査報道メディア","https://mg.co.za","69080efea1801249bbe1e8e3","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Haaretz","イスラエル","テルアビブ","中東","ヘブライ語","中道左派","混合経済","32.0853","34.7818","🇮🇱","イスラエルのリベラル紙","https://www.haaretz.com","69080efea1801249bbe1e8e4","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Globe and Mail","カナダ","トロント","北アメリカ","英語","中道","混合経済","43.6532","-79.3832","🇨🇦","カナダ最大の全国紙","https://www.theglobeandmail.com","69080efea1801249bbe1e8e5","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Asahi Shimbun","日本","東京","アジア","日本語","中道左派","混合経済","35.6762","139.6503","🇯🇵","日本の三大全国紙の一つ","https://www.asahi.com","69080efea1801249bbe1e8e6","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Der Spiegel","ドイツ","ハンブルク","ヨーロッパ","ドイツ語","中道左派","混合経済","53.5511","9.9937","🇩🇪","ドイツの週刊誌","https://www.spiegel.de","69080efea1801249bbe1e8e7","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"La Nación","アルゼンチン","ブエノスアイレス","南アメリカ","スペイン語","中道右派","自由市場","-34.6037","-58.3816","🇦🇷","アルゼンチンの保守系日刊紙","https://www.lanacion.com.ar","69080efea1801249bbe1e8e8","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Dawn","パキスタン","カラチ","アジア","英語","中道","混合経済","24.8607","67.0011","🇵🇰","パキスタン最古の英字新聞","https://www.dawn.com","69080efea1801249bbe1e8e9","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Bangkok Post","タイ","バンコク","アジア","英語","中道","混合経済","13.7563","100.5018","🇹🇭","タイ最大の英字新聞","https://www.bangkokpost.com","69080efea1801249bbe1e8ea","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Jakarta Post","インドネシア","ジャカルタ","アジア","英語","中道","混合経済","-6.2088","106.8456","🇮🇩","インドネシアの英字日刊紙","https://www.thejakartapost.com","69080efea1801249bbe1e8eb","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"El Universal","メキシコ","メキシコシティ","北アメリカ","スペイン語","中道","混合経済","19.4326","-99.1332","🇲🇽","メキシコの主要日刊紙","https://www.eluniversal.com.mx","69080efea1801249bbe1e8ec","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Straits Times","シンガポール","シンガポール","アジア","英語","中道","自由市場","1.3521","103.8198","🇸🇬","シンガポール最大の英字新聞","https://www.straitstimes.com","69080efea1801249bbe1e8ed","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Times of India","インド","ムンバイ","アジア","英語","中道","自由市場","19.076","72.8777","🇮🇳","インド最大の英字日刊紙","https://timesofindia.indiatimes.com","69080efea1801249bbe1e8ee","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Nation","タイ","バンコク","アジア","英語","独立系","混合経済","13.7563","100.5018","🇹🇭","タイの独立系英字紙","https://www.nationthailand.com","69080efea1801249bbe1e8ef","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Egyptian Gazette","エジプト","カイロ","アフリカ","英語","中道","混合経済","30.0444","31.2357","🇪🇬","エジプトの英字新聞","https://www.egypttoday.com","69080efea1801249bbe1e8f0","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Star","マレーシア","クアラルンプール","アジア","英語","中道","混合経済","3.139","101.6869","🇲🇾","マレーシア最大の英字新聞","https://www.thestar.com.my","69080efea1801249bbe1e8f1","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Vanguard","ナイジェリア","ラゴス","アフリカ","英語","中道","混合経済","6.5244","3.3792","🇳🇬","ナイジェリアの主要日刊紙","https://www.vanguardngr.com","69080efea1801249bbe1e8f2","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"New Zealand Herald","ニュージーランド","オークランド","オセアニア","英語","中道","混合経済","-36.8485","174.7633","🇳🇿","ニュージーランド最大の日刊紙","https://www.nzherald.co.nz","69080efea1801249bbe1e8f3","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Standard","ケニア","ナイロビ","アフリカ","英語","中道","混合経済","-1.286389","36.817223","🇰🇪","ケニアの主要日刊紙","https://www.standardmedia.co.ke","69080efea1801249bbe1e8f4","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Correio Braziliense","ブラジル","ブラジリア","南アメリカ","ポルトガル語","中道","混合経済","-15.7975","-47.8919","🇧🇷","ブラジリアの主要日刊紙","https://www.correiobraziliense.com.br","69080efea1801249bbe1e8f5","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"La República","ペルー","リマ","南アメリカ","スペイン語","中道左派","混合経済","-12.0464","-77.0428","🇵🇪","ペルーの主要日刊紙","https://larepublica.pe","69080efea1801249bbe1e8f6","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Philippine Star","フィリピン","マニラ","アジア","英語","中道","混合経済","14.5995","120.9842","🇵🇭","フィリピンの主要英字紙","https://www.philstar.com","69080efea1801249bbe1e8f7","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Jordan Times","ヨルダン","アンマン","中東","英語","中道","混合経済","31.9454","35.9284","🇯🇴","ヨルダンの英字日刊紙","https://www.jordantimes.com","69080efea1801249bbe1e8f8","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Khaleej Times","UAE","ドバイ","中東","英語","中道","自由市場","25.2048","55.2708","🇦🇪","UAEの英字日刊紙","https://www.khaleejtimes.com","69080efea1801249bbe1e8f9","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Express Tribune","パキスタン","カラチ","アジア","英語","中道","混合経済","24.8607","67.0011","🇵🇰","パキスタンの主要英字紙","https://tribune.com.pk","69080efea1801249bbe1e8fa","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Dhaka Tribune","バングラデシュ","ダッカ","アジア","英語","中道","混合経済","23.8103","90.4125","🇧🇩","バングラデシュの英字日刊紙","https://www.dhakatribune.com","69080efea1801249bbe1e8fb","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Kathmandu Post","ネパール","カトマンズ","アジア","英語","中道","混合経済","27.7172","85.324","🇳🇵","ネパールの英字日刊紙","https://kathmandupost.com","69080efea1801249bbe1e8fc","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Daily Star","レバノン","ベイルート","中東","英語","独立系","混合経済","33.8886","35.4955","🇱🇧","レバノンの英字日刊紙","https://www.dailystar.com.lb","69080efea1801249bbe1e8fd","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Vietnam News","ベトナム","ハノイ","アジア","英語","中道","社会主義的","21.0285","105.8542","🇻🇳","ベトナムの英字日刊紙","https://vietnamnews.vn","69080efea1801249bbe1e8fe","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Korea Herald","韓国","ソウル","アジア","英語","中道","混合経済","37.5665","126.978","🇰🇷","韓国の英字日刊紙","https://www.koreaherald.com","69080efea1801249bbe1e8ff","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Taipei Times","台湾","台北","アジア","英語","独立系","自由市場","25.033","121.5654","🇹🇼","台湾の英字日刊紙","https://www.taipeitimes.com","69080efea1801249bbe1e900","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Moscow Times","ロシア","モスクワ","ヨーロッパ","英語","独立系","混合経済","55.7558","37.6173","🇷🇺","ロシアの独立系英字紙","https://www.themoscowtimes.com","69080efea1801249bbe1e901","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Gazeta Wyborcza","ポーランド","ワルシャワ","ヨーロッパ","ポーランド語","中道左派","混合経済","52.2297","21.0122","🇵🇱","ポーランドのリベラル紙","https://wyborcza.pl","69080efea1801249bbe1e902","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Público","ポルトガル","リスボン","ヨーロッパ","ポルトガル語","中道左派","混合経済","38.7223","-9.1393","🇵🇹","ポルトガルのリベラル紙","https://www.publico.pt","69080efea1801249bbe1e903","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"De Standaard","ベルギー","ブリュッセル","ヨーロッパ","オランダ語","中道","混合経済","50.8503","4.3517","🇧🇪","ベルギーの主要日刊紙","https://www.standaard.be","69080efea1801249bbe1e904","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Svenska Dagbladet","スウェーデン","ストックホルム","ヨーロッパ","スウェーデン語","中道右派","混合経済","59.3293","18.0686","🇸🇪","スウェーデンの保守系日刊紙","https://www.svd.se","69080efea1801249bbe1e905","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Berlingske","デンマーク","コペンハーゲン","ヨーロッパ","デンマーク語","中道右派","自由市場","55.6761","12.5683","🇩🇰","デンマーク最古の日刊紙","https://www.berlingske.dk","69080efea1801249bbe1e906","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Aftenposten","ノルウェー","オスロ","ヨーロッパ","ノルウェー語","中道","混合経済","59.9139","10.7522","🇳🇴","ノルウェー最大の日刊紙","https://www.aftenposten.no","69080efea1801249bbe1e907","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Helsingin Sanomat","フィンランド","ヘルシンキ","ヨーロッパ","フィンランド語","中道","混合経済","60.1699","24.9384","🇫🇮","フィンランド最大の日刊紙","https://www.hs.fi","69080efea1801249bbe1e908","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Irish Times","アイルランド","ダブリン","ヨーロッパ","英語","中道","混合経済","53.3498","-6.2603","🇮🇪","アイルランドの主要日刊紙","https://www.irishtimes.com","69080efea1801249bbe1e909","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"El Tiempo","コロンビア","ボゴタ","南アメリカ","スペイン語","中道","混合経済","4.711","-74.0721","🇨🇴","コロンビア最大の日刊紙","https://www.eltiempo.com","69080efea1801249bbe1e90a","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"El Comercio","エクアドル","キト","南アメリカ","スペイン語","中道右派","自由市場","-0.1807","-78.4678","🇪🇨","エクアドルの主要日刊紙","https://www.elcomercio.com","69080efea1801249bbe1e90b","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"La Tercera","チリ","サンティアゴ","南アメリカ","スペイン語","中道右派","自由市場","-33.4489","-70.6693","🇨🇱","チリの主要日刊紙","https://www.latercera.com","69080efea1801249bbe1e90c","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"El Deber","ボリビア","サンタクルス","南アメリカ","スペイン語","中道右派","自由市場","-17.7833","-63.1821","🇧🇴","ボリビアの主要日刊紙","https://eldeber.com.bo","69080efea1801249bbe1e90d","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"El Nacional","ベネズエラ","カラカス","南アメリカ","スペイン語","独立系","混合経済","10.4806","-66.9036","🇻🇪","ベネズエラの独立系日刊紙","https://www.elnacional.com","69080efea1801249bbe1e90e","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"ABC Color","パラグアイ","アスンシオン","南アメリカ","スペイン語","中道右派","自由市場","-25.2637","-57.5759","🇵🇾","パラグアイ最大の日刊紙","https://www.abc.com.py","69080efea1801249bbe1e90f","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"El País","ウルグアイ","モンテビデオ","南アメリカ","スペイン語","中道","混合経済","-34.9011","-56.1645","🇺🇾","ウルグアイの主要日刊紙","https://www.elpais.com.uy","69080efea1801249bbe1e910","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Business Day","南アフリカ","ヨハネスブルグ","アフリカ","英語","中道","自由市場","-26.2041","28.0473","🇿🇦","南アフリカの経済紙","https://www.businesslive.co.za","69080efea1801249bbe1e911","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Citizen","タンザニア","ダルエスサラーム","アフリカ","英語","中道","混合経済","-6.7924","39.2083","🇹🇿","タンザニアの英字日刊紙","https://www.thecitizen.co.tz","69080efea1801249bbe1e912","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"New Vision","ウガンダ","カンパラ","アフリカ","英語","中道","混合経済","0.3476","32.5825","🇺🇬","ウガンダの主要日刊紙","https://www.newvision.co.ug","69080efea1801249bbe1e913","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Monitor","ウガンダ","カンパラ","アフリカ","英語","独立系","混合経済","0.3476","32.5825","🇺🇬","ウガンダの独立系日刊紙","https://www.monitor.co.ug","69080efea1801249bbe1e914","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The East African","ケニア","ナイロビ","アフリカ","英語","中道","混合経済","-1.286389","36.817223","🇰🇪","東アフリカの週刊紙","https://www.theeastafrican.co.ke","69080efea1801249bbe1e915","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Times of Zambia","ザンビア","ルサカ","アフリカ","英語","中道","混合経済","-15.4167","28.2833","🇿🇲","ザンビアの主要日刊紙","https://www.times.co.zm","69080efea1801249bbe1e916","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Herald","ジンバブエ","ハラレ","アフリカ","英語","中道","混合経済","-17.8252","31.0335","🇿🇼","ジンバブエの主要日刊紙","https://www.herald.co.zw","69080efea1801249bbe1e917","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"L'Observateur","セネガル","ダカール","アフリカ","フランス語","独立系","混合経済","14.7167","-17.4677","🇸🇳","セネガルの独立系週刊紙","https://www.lobservateur.sn","69080efea1801249bbe1e918","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Jeune Afrique","フランス","パリ","ヨーロッパ","フランス語","中道","混合経済","48.8566","2.3522","🇫🇷","アフリカに焦点を当てた週刊誌","https://www.jeuneafrique.com","69080efea1801249bbe1e919","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Al-Ahram","エジプト","カイロ","アフリカ","アラビア語","中道","混合経済","30.0444","31.2357","🇪🇬","エジプト最古の日刊紙","https://www.ahram.org.eg","69080efea1801249bbe1e91a","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Morocco World News","モロッコ","ラバト","アフリカ","英語","中道","混合経済","34.0209","-6.8416","🇲🇦","モロッコの英字オンラインメディア","https://www.moroccoworldnews.com","69080efea1801249bbe1e91b","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Tunisia Live","チュニジア","チュニス","アフリカ","英語","独立系","混合経済","36.8065","10.1815","🇹🇳","チュニジアの英字オンラインメディア","https://www.tunisia-live.net","69080efea1801249bbe1e91c","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Libya Herald","リビア","トリポリ","アフリカ","英語","独立系","不明","32.8872","13.1913","🇱🇾","リビアの英字オンラインメディア","https://www.libyaherald.com","69080efea1801249bbe1e91d","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Sudan Tribune","スーダン","ハルツーム","アフリカ","英語","独立系","混合経済","15.5007","32.5599","🇸🇩","スーダンの独立系英字メディア","https://www.sudantribune.com","69080efea1801249bbe1e91e","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Ethiopian Herald","エチオピア","アディスアベバ","アフリカ","英語","中道","混合経済","9.032","38.7469","🇪🇹","エチオピアの英字日刊紙","https://www.press.et/english","69080efea1801249bbe1e91f","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Reporter","エチオピア","アディスアベバ","アフリカ","英語","独立系","混合経済","9.032","38.7469","🇪🇹","エチオピアの独立系週刊紙","https://www.thereporterethiopia.com","69080efea1801249bbe1e920","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Ghanaian Times","ガーナ","アクラ","アフリカ","英語","中道","混合経済","5.6037","-0.187","🇬🇭","ガーナの主要日刊紙","https://www.ghanaiantimes.com.gh","69080efea1801249bbe1e921","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Daily Graphic","ガーナ","アクラ","アフリカ","英語","中道","混合経済","5.6037","-0.187","🇬🇭","ガーナ最古の日刊紙","https://www.graphic.com.gh","69080efea1801249bbe1e922","2025-11-03T02:10:06.232000","2025-11-03T02:10:06.232000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
